grid_id,cell_area_km2,dominant_land_cover_name,cost_adaptation_atelerix,cost_adaptation_martes,cost_adaptation_eliomys,cost_adaptation_oryctolagus,cost_corridor,has_atelerix_algirus,has_martes_martes,has_eliomys_quercinus,has_oryctolagus_cuniculus,grid_x,grid_y,neighbors,human_disturbance,current_richness,suitability_atelerix,efficiency_atelerix,suitability_martes,efficiency_martes,suitability_eliomys,efficiency_eliomys,suitability_oryctolagus,efficiency_oryctolagus
cell_0_28,0.03239677293946093,Discontinuous Urban Fabric,4.5,6.37,7.0,6.34,2.04,False,False,False,False,0,28,"cell_0_29,cell_1_28,cell_1_29",0.7,0,2.0,0.4434589800443459,1.0,0.15673981191222572,1.0,0.14265335235378032,1.0,0.15748031496062992
cell_0_29,0.25753663656266446,Discontinuous Urban Fabric,3.86,9.5,7.25,6.91,1.9,True,False,False,False,0,29,"cell_0_30,cell_0_28,cell_1_29,cell_1_30,cell_1_28",0.7,1,2.0,0.516795865633075,1.0,0.10515247108307045,1.0,0.13774104683195593,1.0,0.14450867052023122
cell_0_30,0.28038276514013,Pastures,2.39,8.42,8.93,2.31,2.35,False,False,False,False,0,30,"cell_0_31,cell_0_29,cell_1_30,cell_1_31,cell_1_29",0.1,0,3.0,1.25,1.0,0.11862396204033215,1.0,0.11185682326621925,3.0,1.293103448275862
cell_0_31,0.48100783378410844,Pastures,2.91,5.74,8.85,2.74,2.23,False,False,False,False,0,31,"cell_0_32,cell_0_30,cell_1_31,cell_1_32,cell_1_30",0.1,0,3.0,1.0273972602739727,1.0,0.17391304347826086,1.0,0.11286681715575622,3.0,1.0909090909090908
cell_0_32,0.04081123756820102,Pastures,1.86,7.13,10.03,2.06,0.88,False,False,False,False,0,32,"cell_0_31,cell_1_32,cell_1_33,cell_1_31",0.1,0,3.0,1.6042780748663101,1.0,0.1400560224089636,1.0,0.09960159362549802,3.0,1.4492753623188408
cell_1_28,0.09701781061209645,Discontinuous Urban Fabric,3.77,10.48,10.44,6.52,1.63,False,False,False,False,1,28,"cell_1_29,cell_0_28,cell_2_28,cell_0_29,cell_2_29",0.7,0,2.0,0.5291005291005292,1.0,0.09532888465204957,1.0,0.09569377990430622,1.0,0.1531393568147014
cell_1_29,0.5530570339386283,Discontinuous Urban Fabric,5.58,4.36,8.45,8.1,1.44,False,False,False,False,1,29,"cell_1_30,cell_1_28,cell_0_29,cell_2_29,cell_0_30,cell_2_30,cell_0_28,cell_2_28",0.7,0,2.0,0.35778175313059035,1.0,0.22883295194508008,1.0,0.11820330969267141,1.0,0.12330456226880396
cell_1_30,0.5624999999993016,Pastures,2.46,7.36,8.67,1.64,3.03,False,False,False,False,1,30,"cell_1_31,cell_1_29,cell_0_30,cell_2_30,cell_0_31,cell_2_31,cell_0_29,cell_2_29",0.1,0,3.0,1.2145748987854252,1.0,0.13568521031207598,1.0,0.1152073732718894,3.0,1.8181818181818183
cell_1_31,0.5625000000006984,Pastures,1.72,9.9,7.48,1.44,0.84,False,False,False,False,1,31,"cell_1_32,cell_1_30,cell_0_31,cell_2_31,cell_0_32,cell_2_32,cell_0_30,cell_2_30",0.1,0,3.0,1.7341040462427746,1.0,0.10090817356205853,1.0,0.13351134846461948,3.0,2.0689655172413794
cell_1_32,0.34120463138312335,Pastures,2.33,6.7,7.53,2.63,2.51,False,False,False,False,1,32,"cell_1_33,cell_1_31,cell_0_32,cell_2_32,cell_2_33,cell_0_31,cell_2_31",0.1,0,3.0,1.2820512820512822,1.0,0.14903129657228018,1.0,0.13262599469496023,3.0,1.1363636363636365
cell_1_33,0.04342850869660365,Pastures,1.72,6.98,4.98,2.48,2.45,False,False,False,False,1,33,"cell_1_34,cell_1_32,cell_2_33,cell_2_34,cell_0_32,cell_2_32",0.1,0,3.0,1.7341040462427746,1.0,0.14306151645207438,1.0,0.2004008016032064,3.0,1.2048192771084338
cell_1_34,0.0020487161366085074,Pastures,1.72,7.86,6.3,2.8,2.01,False,False,False,False,1,34,"cell_1_33,cell_2_34,cell_2_33",0.1,0,3.0,1.7341040462427746,1.0,0.12706480304955528,1.0,0.1584786053882726,3.0,1.0676156583629894
cell_2_28,0.22308044726005344,Sclerophyllous Vegetation,2.15,2.89,1.33,174.49,1.42,False,False,False,False,2,28,"cell_2_29,cell_1_28,cell_3_28,cell_1_29,cell_3_29,cell_3_27",0.0,0,3.0,1.388888888888889,3.0,1.0344827586206897,3.0,2.2388059701492535,3.0,0.017191977077363897
cell_2_29,0.5576924873247349,Discontinuous Urban Fabric,2.09,7.04,8.36,7.52,1.62,False,False,False,False,2,29,"cell_2_30,cell_2_28,cell_1_29,cell_3_29,cell_1_30,cell_3_30,cell_1_28,cell_3_28",0.7,0,2.0,0.9523809523809526,1.0,0.14184397163120568,1.0,0.11947431302270013,1.0,0.13280212483399736
cell_2_30,0.5624999999993016,Pastures,0.97,7.33,7.51,1.48,2.37,False,False,False,False,2,30,"cell_2_31,cell_2_29,cell_1_30,cell_3_30,cell_1_31,cell_3_31,cell_1_29,cell_3_29",0.1,0,3.0,3.061224489795918,1.0,0.1362397820163488,1.0,0.13297872340425532,3.0,2.0134228187919465
cell_2_31,0.5625000000003493,Pastures,1.66,7.35,10.92,0.95,2.36,False,False,False,False,2,31,"cell_2_32,cell_2_30,cell_1_31,cell_3_31,cell_1_32,cell_3_32,cell_1_30,cell_3_30",0.1,0,3.0,1.7964071856287427,1.0,0.13586956521739132,1.0,0.09149130832570906,3.0,3.125
cell_2_32,0.559200608310672,Pastures,1.39,11.31,10.87,2.16,2.09,False,False,False,False,2,32,"cell_2_33,cell_2_31,cell_1_32,cell_3_32,cell_1_33,cell_3_33,cell_1_31,cell_3_31",0.1,0,3.0,2.142857142857143,1.0,0.08833922261484099,1.0,0.09191176470588236,3.0,1.3824884792626728
cell_2_33,0.5126363522843136,Pastures,2.19,11.28,9.38,1.37,1.87,False,False,False,False,2,33,"cell_2_34,cell_2_32,cell_1_33,cell_3_33,cell_1_34,cell_3_34,cell_1_32,cell_3_32",0.1,0,3.0,1.3636363636363638,1.0,0.08857395925597875,1.0,0.10649627263045792,3.0,2.1739130434782608
cell_2_34,0.20666779533045349,Pastures,1.46,9.51,9.4,2.76,2.08,False,False,False,False,2,34,"cell_2_33,cell_1_34,cell_3_34,cell_3_35,cell_1_33,cell_3_33",0.1,0,3.0,2.0408163265306123,1.0,0.10504201680672269,1.0,0.10626992561105207,3.0,1.0830324909747293
cell_3_17,0.06997584901183901,Discontinuous Urban Fabric,2.59,8.58,9.74,5.43,2.01,False,False,False,False,3,17,"cell_3_18,cell_4_17,cell_4_18",0.7,0,2.0,0.7692307692307694,1.0,0.11641443538998836,1.0,0.10256410256410256,1.0,0.18382352941176472
