grid_id,active_atelerix,invest_atelerix,active_martes,invest_martes,active_eliomys,invest_eliomys,active_oryctolagus,invest_oryctolagus,corridors
cell_0_28,0,0,0,0,0,0,0,0,
cell_0_29,1,0,0,0,0,0,0,0,
cell_0_30,0,0,0,0,0,0,0,0,
cell_0_31,0,0,0,0,0,0,0,0,
cell_0_32,0,0,0,0,0,0,0,0,
cell_1_28,0,0,0,0,0,0,0,0,
cell_1_29,0,0,0,0,0,0,0,0,
cell_1_30,0,0,0,0,0,0,0,0,
cell_1_31,0,0,0,0,0,0,0,0,
cell_1_32,0,0,0,0,0,0,0,0,
cell_1_33,0,0,0,0,0,0,0,0,
cell_1_34,0,0,0,0,0,0,0,0,
cell_2_28,0,0,0,0,0,0,0,0,
cell_2_29,0,0,0,0,0,0,0,0,
cell_2_30,0,0,0,0,0,0,0,0,
cell_2_31,0,0,0,0,0,0,0,0,
cell_2_32,0,0,0,0,0,0,0,0,
cell_2_33,0,0,0,0,0,0,0,0,
cell_2_34,0,0,0,0,0,0,0,0,
cell_3_17,0,0,0,0,0,0,0,0,
cell_3_18,0,0,0,0,0,0,0,0,
cell_3_19,0,0,0,0,0,0,0,0,
cell_3_20,0,0,0,0,0,0,0,0,
cell_3_21,0,0,0,0,0,0,0,0,
cell_3_22,0,0,0,0,0,0,0,0,
cell_3_27,0,0,0,0,0,0,0,0,
cell_3_28,0,0,0,0,0,0,0,0,
cell_3_29,0,0,0,0,0,0,0,0,
cell_3_30,0,0,0,0,0,0,0,0,
cell_3_31,0,0,0,0,0,0,0,0,
cell_3_32,0,0,0,0,0,0,0,0,
cell_3_33,0,0,0,0,0,0,0,0,
cell_3_34,0,0,0,0,0,0,0,0,
cell_3_35,0,0,0,0,0,0,0,0,
cell_3_36,0,0,0,0,0,0,0,0,
cell_4_17,0,0,0,0,0,0,0,0,
cell_4_18,0,0,0,0,0,0,0,0,
cell_4_19,0,0,0,0,1,0,0,0,cell_4_20
cell_4_20,1,1,0,0,0,0,0,0,cell_4_19
cell_4_21,0,0,0,0,0,0,0,0,
cell_4_22,0,0,0,0,0,0,0,0,
cell_4_23,0,0,0,0,0,0,0,0,
cell_4_24,0,0,0,0,0,0,0,0,
cell_4_25,0,0,0,0,0,0,0,0,
cell_4_26,0,0,0,0,0,0,0,0,
cell_4_27,0,0,0,0,0,0,0,0,
cell_4_28,0,0,0,0,0,0,0,0,
cell_4_29,0,0,0,0,0,0,0,0,
cell_4_30,0,0,0,0,0,0,0,0,
cell_4_31,0,0,0,0,0,0,0,0,
cell_4_32,0,0,0,0,0,0,0,0,
cell_4_33,0,0,0,0,0,0,0,0,
cell_4_34,0,0,0,0,0,0,0,0,
cell_4_35,0,0,0,0,0,0,0,0,
cell_4_36,0,0,0,0,0,0,0,0,
cell_5_17,0,0,0,0,0,0,0,0,
cell_5_18,0,0,0,0,0,0,0,0,
cell_5_19,0,0,0,0,0,0,0,0,
cell_5_20,0,0,0,0,0,0,0,0,
cell_5_21,0,0,0,0,0,0,0,0,
cell_5_22,0,0,0,0,0,0,0,0,
cell_5_23,0,0,0,0,1,0,0,0,"cell_6_23,cell_6_22"
cell_5_24,0,0,0,0,0,0,0,0,
cell_5_25,0,0,0,0,0,0,0,0,
cell_5_26,0,0,0,0,0,0,0,0,
cell_5_27,0,0,0,0,0,0,0,0,
cell_5_28,0,0,0,0,0,0,1,0,
cell_5_29,0,0,0,0,0,0,0,0,
cell_5_30,0,0,0,0,0,0,0,0,
cell_5_31,0,0,0,0,0,0,0,0,
cell_5_32,0,0,0,0,0,0,0,0,
cell_5_33,0,0,0,0,0,0,0,0,
cell_5_34,0,0,0,0,0,0,0,0,
cell_5_35,0,0,0,0,0,0,0,0,
cell_5_36,1,1,0,0,0,0,1,1,
cell_5_37,0,0,0,0,0,0,0,0,
cell_6_17,0,0,0,0,0,0,0,0,
cell_6_18,1,1,0,0,0,0,0,0,"cell_6_19,cell_7_18,cell_7_19"
cell_6_19,0,0,0,0,0,0,1,1,"cell_6_18,cell_7_19,cell_7_20,cell_7_18"
cell_6_20,0,0,0,0,0,0,0,0,
cell_6_21,0,0,0,0,0,0,0,0,
cell_6_22,1,1,0,0,0,0,0,0,"cell_6_23,cell_5_23,cell_7_23"
cell_6_23,0,0,0,0,0,0,1,1,"cell_6_22,cell_5_23,cell_7_23,cell_7_24"
cell_6_24,0,0,0,0,0,0,0,0,
cell_6_25,0,0,0,0,0,0,0,0,
cell_6_26,0,0,0,0,0,0,0,0,
cell_6_27,0,0,0,0,0,0,0,0,
cell_6_28,0,0,0,0,0,0,0,0,
cell_6_29,0,0,0,0,0,0,0,0,
cell_6_30,0,0,0,0,0,0,0,0,
cell_6_31,0,0,0,0,0,0,0,0,
cell_6_32,0,0,0,0,0,0,0,0,
cell_6_33,0,0,0,0,0,0,0,0,
cell_6_34,0,0,0,0,0,0,0,0,
cell_6_35,0,0,0,0,0,0,0,0,
cell_6_36,0,0,0,0,0,0,0,0,
cell_6_37,0,0,0,0,0,0,0,0,
cell_7_17,0,0,0,0,0,0,0,0,
cell_7_18,1,1,0,0,0,0,0,0,"cell_7_19,cell_6_18,cell_6_19,cell_8_19"
